transaction_id,is_fraud,confidence,rule_score,iforest_score,autoencoder_score,fused_score,triaged,source,hard_rule,injection_suspected,rule_slm_conflict,rule_codes,justification
TXN_0000796,False,0.765,0.08333333333333333,0.645748987854251,0.8582995951417004,0.48454790823211874,False,deterministic_below_threshold,False,False,False,NEW_DEVICE,Reviewed and cleared; minor signals only (initiated from a device not seen before).
TXN_0000974,True,0.8,0.5,0.7722672064777328,0.6497975708502024,0.6266194331983805,True,slm,False,False,False,IMPOSSIBLE_TRAVEL|BALANCE_NEGATIVE|CUSTOMER_HIGH_RISK|KYC_NOT_VERIFIED,The customer's high internal risk rating and expired KYC status indicate a high likelihood of fraudulent activity.
TXN_0000795,False,0.712,0.16666666666666666,0.8157894736842105,0.7540485829959515,0.5376180836707152,False,deterministic_below_threshold,False,False,False,NIGHT_HOURS|BALANCE_NEGATIVE,"Reviewed and cleared; minor signals only (occurred at 03:00, outside normal activity hours; drove the account balance negative)."
TXN_0000695,False,0.85,0.16666666666666666,0.7530364372469636,0.35931174089068824,0.40037112010796216,False,deterministic_below_threshold,False,False,False,NEW_DEVICE|KYC_NOT_VERIFIED,Reviewed and cleared; minor signals only (initiated from a device not seen before; customer KYC status is EXPIRED).
TXN_0000588,True,0.85,0.16666666666666666,0.8825910931174089,0.8259109311740891,0.579217273954116,True,slm,False,False,False,NEW_DEVICE|KYC_NOT_VERIFIED,"The transaction is a failed transfer from Jio Recharge, a utility merchant, to an account with an average monthly balance of $43,372.00, indicating a potential high-risk transaction."
TXN_0000011,False,0.778,0.08333333333333333,0.7601214574898786,0.701417004048583,0.4717948717948718,False,deterministic_below_threshold,False,False,False,NEW_DEVICE,Reviewed and cleared; minor signals only (initiated from a device not seen before).
TXN_0000849,False,0.934,0.25,0.3785425101214575,0.3410931174089069,0.3158906882591093,False,deterministic_below_threshold,False,False,False,IMPOSSIBLE_TRAVEL,"Reviewed and cleared; minor signals only (card physically present 1,300 km from home)."
TXN_0000714,False,0.743,0.16666666666666666,0.771255060728745,0.6973684210526315,0.5072537112010795,False,deterministic_below_threshold,False,False,False,VELOCITY_24H,Reviewed and cleared; minor signals only (3 transactions in the preceding 24h).
TXN_0000515,False,0.99,0.0,0.011133603238866396,0.25809716599190285,0.08076923076923077,False,deterministic_below_threshold,False,False,False,,Consistent with the account's normal transaction pattern; no fraud indicators triggered.
TXN_0000299,False,0.749,0.5833333333333334,0.2540485829959514,0.6366396761133604,0.5005398110661269,False,deterministic_below_threshold,False,False,False,NO_AUTH_HIGH_VALUE|IMPOSSIBLE_TRAVEL|NEW_DEVICE,"Reviewed and cleared; minor signals only (no authentication on a 17,744 INR transaction; card physically present 507 km from home)."
TXN_0000208,False,0.99,0.0,0.010121457489878543,0.4139676113360324,0.12722672064777327,False,deterministic_below_threshold,False,False,False,,Consistent with the account's normal transaction pattern; no fraud indicators triggered.
