account_id,customer_id,account_type,account_status,currency,open_date,close_date,branch_code,branch_city,current_balance,avg_monthly_balance_6m,credit_limit,credit_utilization_pct,overdraft_enabled,card_type,is_joint_account,num_linked_devices,mobile_banking_enrolled,last_login_date,avg_monthly_txn_count,account_tier,is_orphan_customer,is_quarantined
ACC_000001,CUST_00001,NRE,ACTIVE,INR,2016-08-26 00:00:00,,BR122,Gurugram,33507.22,22831.7,0.0,0.0,True,GOLD,False,2,True,2026-07-20 00:00:00,15,SILVER,False,False
ACC_000002,CUST_00001,SAVINGS,ACTIVE,INR,2019-03-31 00:00:00,,BR119,Gurugram,25171.02,32699.45,0.0,0.0,False,CLASSIC,False,1,True,2026-06-15 00:00:00,18,SILVER,False,False
ACC_000003,CUST_00002,SAVINGS,DORMANT,INR,2022-03-24 00:00:00,,BR122,Gurugram,13569.59,8583.4,0.0,0.0,False,CLASSIC,False,1,True,2026-07-23 00:00:00,29,SILVER,False,False
ACC_000004,CUST_00003,NRE,ACTIVE,INR,2018-05-18 00:00:00,,BR131,Indore,6150.0,8126.2,0.0,0.0,False,CLASSIC,False,3,True,2026-09-05 00:00:00,28,BASIC,False,False
ACC_000005,CUST_00004,CURRENT,ACTIVE,INR,2019-10-21 00:00:00,,BR122,,38691.79,50101.9,0.0,0.0,False,NONE,False,3,True,2026-08-11 00:00:00,15,GOLD,False,False
ACC_000006,CUST_00004,SAVINGS,ACTIVE,INR,2020-06-04 00:00:00,,BR119,Chandigarh,169059.43,197294.16,0.0,0.0,False,PLATINUM,False,2,True,2026-07-11 00:00:00,8,SILVER,False,False
ACC_000007,CUST_00005,SAVINGS,ACTIVE,INR,2020-03-26 00:00:00,,BR135,Hyderabad,39100.81,32988.68,0.0,0.0,False,NONE,True,4,True,2026-06-25 00:00:00,12,BASIC,False,False
ACC_000008,CUST_00006,NRE,ACTIVE,INR,2024-12-28 00:00:00,,,Noida,76650.06,106982.88,0.0,0.0,False,NONE,False,2,False,2026-06-15 00:00:00,16,SILVER,False,False
ACC_000009,CUST_00006,CURRENT,ACTIVE,INR,2018-10-29 00:00:00,,BR125,Noida,30923.39,45829.22,0.0,0.0,False,CLASSIC,True,4,True,2026-08-24 00:00:00,25,SILVER,False,False
ACC_000010,CUST_00007,CREDIT_CARD,DORMANT,INR,2018-09-24 00:00:00,,BR139,Kochi,46700.76,40686.09,1000000.0,71.0,False,GOLD,True,5,False,2026-06-16 00:00:00,20,SILVER,False,False
