transaction_id,account_id,customer_id,transaction_timestamp,transaction_hour,is_weekend,amount,currency,transaction_type,channel,status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_country,device_id,device_type,is_new_device,ip_address,auth_method,is_card_present,is_foreign_transaction,distance_from_home_km,time_since_prev_txn_mins,txn_count_last_24h,txn_count_last_7d,amount_to_account_avg_ratio,balance_after_txn,has_invalid_transaction_timestamp,is_orphan_account,is_orphan_customer,is_quarantined,reject_reason
TXN_0000297,ACC_900007,,2026-05-14 23:57:03,23,False,15418.15,INR,PURCHASE,ONLINE,SUCCESS,MER_2854,MakeMyTrip,TRAVEL,Chandigarh,IN,DEV_507888,IOS,False,49.55.185.62,3DS,False,False,196.9,24.0,3,3,2.451,961.46,False,True,False,True,is_orphan_account
TXN_0000839,ACC_000037,CUST_00025,,18,False,13503.05,INR,PURCHASE,POS,SUCCESS,MER_1412,Croma Electronics,ELECTRONICS,Jaipur,IN,DEV_407645,POS_TERMINAL,False,,NONE,True,False,281.5,17202.03,0,0,9.451,83083.43,True,False,False,True,has_invalid_transaction_timestamp
TXN_0000239,ACC_000141,CUST_00096,,17,False,5291.66,INR,WITHDRAWAL,ATM,SUCCESS,MER_2885,SBI ATM,ATM_WITHDRAWAL,Indore,IN,DEV_789922,ATM_MACHINE,False,,PIN,True,False,2.5,252.0,1,1,2.707,10035.95,True,False,False,True,has_invalid_transaction_timestamp
TXN_0000842,ACC_900006,,2026-08-20 14:20:48,14,False,2232.72,INR,PURCHASE,MOBILE_APP,SUCCESS,MER_9326,Flipkart,ECOMMERCE,Jaipur,IN,DEV_887017,WINDOWS_DESKTOP,False,49.56.204.49,OTP,False,False,10.0,65288.17,0,0,1.058,48122.49,False,True,False,True,is_orphan_account
TXN_0000324,ACC_000135,CUST_00093,,13,False,9726.28,INR,PURCHASE,,SUCCESS,MER_1412,Croma Electronics,ELECTRONICS,London,GB,DEV_276636,WINDOWS_DESKTOP,False,146.172.227.201,3DS,False,True,4644.8,29.77,3,3,0.594,-58010.02,True,False,False,True,has_invalid_transaction_timestamp
TXN_0000346,ACC_000095,CUST_00068,,18,True,63265.5,INR,PURCHASE,POS,SUCCESS,MER_5005,Tanishq Jewellers,JEWELLERY,Kochi,IN,DEV_751009,POS_TERMINAL,False,,PIN,True,False,9.2,81885.35,0,0,6.218,-16935.11,True,False,False,True,has_invalid_transaction_timestamp
TXN_0000090,ACC_900000,,2026-04-07 05:30:24,5,False,63761.74,INR,,POS,SUCCESS,MER_6761,Luxury Goods Direct,JEWELLERY,Noida,IN,DEV_222115,POS_TERMINAL,True,,PIN,True,False,6.3,,0,0,,3280.88,False,True,False,True,is_orphan_account
TXN_0000850,ACC_000015,CUST_00009,,17,True,27366.2,INR,PAYMENT,MOBILE_APP,SUCCESS,MER_8691,NEFT Beneficiary,FUND_TRANSFER,Bengaluru,IN,DEV_444622,IOS,False,49.49.173.59,PIN,False,False,893.0,199.0,1,1,5.817,40366.53,True,False,False,True,has_invalid_transaction_timestamp
TXN_0000026,ACC_900002,,2026-03-27 10:01:05,10,False,4950.56,INR,TRANSFER,INTERNET_BANKING,SUCCESS,MER_9568,UPI P2P Transfer,P2P_TRANSFER,Ahmedabad,IN,DEV_214499,WINDOWS_DESKTOP,True,49.41.40.142,BIOMETRIC,False,False,2.1,,0,0,,104579.46,False,True,False,True,is_orphan_account
TXN_0000385,ACC_000072,CUST_00050,,1,False,3080.89,INR,TRANSFER,MOBILE_APP,SUCCESS,MER_7794,Tata Power,UTILITIES,Kolkata,IN,DEV_527288,ANDROID,False,49.42.115.114,,False,False,4.1,343.0,2,2,2.474,35020.58,True,False,False,True,has_invalid_transaction_timestamp
